Normal Weight heights,Overweight heights,,,
1875,1752.5,, ,
1860,1805.5,,, 
1828.5,1760.5,,,
1491.5,1850,,,
1835.5,1758,,,
1791.5,1808.5,,,
1779,1794.5,,,
1870,1862,,,
1765.5,1799,,,
1754,1860.5,,,
1785,1858,,,
1739,1706,,,
1696.5,1771,,,
1862.5,1793,,,
1847.5,1892,,,
1734.5,1654,,,
1779.5,1782.5,,,
1826.5,1832,,,
1680,1843,,,
1721.5,1750,,,
1829,1994.5,,,
1828.5,1950,,,
1722.5,1773,,,
1803,1799.5,,,
1790,1865,,,
1769.5,1868.5,,,
1719.5,1782,,,
1777,1785,,,
,1744.5,,,
,1937.5,,,
,1675.5,,,
,1620.5,,,
,1756.5,,,
,1806,,,
,1713,,,
,1911,,,
