study season,body height,% body fat
,,
0,1785,18.8
0,1659,13.8
0,1758.5,18.8
0,1934,20.8
0,1736,21.6
0,1720.5,18.1
0,1830.5,17.8
0,1749.5,24.4
0,1849,11.2
0,1831,14.8
0,1758.5,26.4
0,1826.5,20
0,1691,23.9
0,1706.5,25.6
0,1872.5,21.5
0,1790,18.2
0,1782,25.1
0,1802,25
0,1874,25.2
0,1799,30.6
0,1889.5,29.1
0,1859,28.3
0,1752.5,29.5
0,1759.5,15.6
0,1767.5,23.3
0,1829,19.2
0,1741,23.6
0,1819.5,27.1
0,1791,17.3
0,1750.5,16.5
0,1704,26.3
0,1685.5,17.2
1,1752.5,23.2
1,1805.5,23.1
1,1760.5,19.5
1,1875.0,18.6
1,1860.0,11.6
1,1828.5,7.2
1,1850.0,21.1
1,1491.5,18.4
1,1758.0,23.3
1,1808.5,22.5
1,1835.5,14.7
1,1791.5,19
1,1794.5,21.3
1,1862.0,26.5
1,1779.0,17.2
1,1870.0,15.2
1,1765.5,16.1
1,1799.0,24.7
1,1754.0,17.2
1,1785.0,16.1
1,1860.5,22.8
1,1858.0,32.5
1,1739.0,16.4
1,1696.5,15.8
1,1706.0,22.7
1,1771.0,22.2
1,1793.0,22.4
1,1892.0,24.3
1,1654.0,23.6
1,1782.5,20.8
1,1862.5,16.1
1,1832.0,21.3
1,1847.5,13.8
1,1843.0,24.1
1,1750.0,22.9
1,1994.5,28.5
1,1950.0,27.3
1,1773.0,27.5
1,1799.5,21.6
1,1734.5,17.4
1,1779.5,18.2
1,1826.5,17.6
1,1865.0,26.2
1,1868.5,21.7
1,1680.0,16.7
1,1782.0,22.5
1,1721.5,15.1
1,1829.0,16.2
1,1785.0,22.4
1,1828.5,17.8
1,1744.5,22.4
1,1722.5,17.4
1,1937.5,22.5
1,1803.0,14.7
1,1675.5,21.6
1,1620.5,20.5
1,1756.5,24.2
1,1806.0,26.2
1,1790.0,14.1
1,1769.5,13.1
1,1713.0,25.5
1,1911.0,25.5
1,1719.5,17.6
1,1777.0,17.5
